X	Y
637	3828.578
638	3807.044
639	3799.578
640	3812.622
641	3824.622
642	3816.844
643	3788.178
644	3764.778
645	3747.022
646	3737.711
647	3741.489
648	3725.222
649	3713.733
650	3693.556
651	3700.689
652	3682.422
653	3665.511
654	3637.178
655	3626.800
656	3608.333
657	3586.378
658	3559.244
659	3528.333
660	3511.911
661	3516.267
662	3517.178
663	3509.933
664	3490.622
665	3486.311
666	3482.956
667	3492.200
668	3482.689
669	3459.333
670	3425.756
671	3410.422
672	3408.111
673	3403.267
674	3392.756
675	3373.489
676	3363.978
677	3354.756
678	3345.467
679	3320.222
680	3308.556
681	3290.244
682	3278.178
683	3253.467
684	3230.244
685	3225.667
686	3225.911
687	3234.111
688	3218.444
689	3203.622
690	3188.867
691	3176.600
692	3170.311
693	3159.622
694	3144.355
695	3120.578
696	3113.178
697	3101.756
698	3097.111
699	3082.867
700	3075.911
701	3049.467
702	3031.689
703	3020.267
704	3020.645
705	3020.067
706	3011.556
707	3003.444
708	2988.689
709	2978.022
710	2975.511
711	2967.822
712	2964.089
713	2949.378
714	2948.689
715	2939.267
716	2922.133
717	2901.333
718	2895.933
719	2891.444
720	2881.778
721	2870.000
722	2859.844
723	2855.467
724	2847.711
725	2845.933
726	2837.044
727	2820.533
728	2816.267
729	2809.822
730	2814.800
731	2801.844
732	2793.378
733	2786.667
734	2783.133
735	2779.556
736	2766.756
737	2749.333
738	2735.333
739	2720.511
740	2719.133
741	2709.000
742	2700.400
743	2682.622
744	2684.067
745	2693.000
746	2682.711
747	2662.733
748	2646.511
749	2658.000
750	2665.645
751	2673.000
752	2667.156
753	2659.933
754	2634.422
755	2628.489
756	2627.178
757	2630.244
758	2620.444
759	2597.311
760	2579.911
761	2564.111
762	2569.489
763	2580.578
764	2584.355
765	2576.022
766	2557.289
767	2536.222
768	2522.533
769	2521.222
770	2523.489
771	2521.933
772	2510.200
773	2501.178
774	2483.222
775	2470.733
776	2455.933
777	2453.044
778	2446.622
779	2447.267
780	2436.733
781	2417.044
782	2400.067
783	2390.645
784	2391.444
785	2389.200
786	2377.822
787	2363.222
788	2349.044
789	2341.355
790	2327.911
791	2313.400
792	2300.489
793	2300.578
794	2298.667
795	2302.978
796	2292.956
797	2278.156
798	2260.355
799	2262.911
800	2268.400
801	2265.778
802	2256.222
803	2239.244
804	2222.911
805	2211.489
806	2211.267
807	2218.355
808	2217.556
809	2223.200
810	2223.000
811	2214.378
812	2200.355
813	2186.200
814	2177.422
815	2167.133
816	2155.111
817	2154.622
818	2156.533
819	2149.222
820	2134.422
821	2116.800
822	2110.667
823	2104.489
824	2102.556
825	2097.333
826	2085.489
827	2074.778
828	2071.578
829	2065.889
830	2064.289
831	2061.089
832	2062.711
833	2062.222
834	2052.622
835	2052.422
836	2041.356
837	2035.867
838	2015.867
839	2000.600
840	1985.333
841	1985.467
842	1984.200
843	1985.200
844	1972.489
845	1970.444
846	1963.156
847	1966.133
848	1953.067
849	1943.022
850	1936.956
851	1936.667
852	1938.644
853	1930.622
854	1922.844
855	1921.489
856	1920.356
857	1912.622
858	1905.511
859	1909.267
860	1907.867
861	1902.022
862	1884.956
863	1882.644
864	1872.778
865	1869.956
866	1851.356
867	1847.067
868	1834.667
869	1833.689
870	1830.756
871	1824.556
872	1818.756
873	1807.000
874	1805.111
875	1802.156
876	1801.022
877	1796.156
878	1792.044
879	1781.267
880	1761.933
881	1750.133
882	1744.756
883	1753.933
884	1752.644
885	1753.800
886	1752.222
887	1745.333
888	1735.667
889	1720.222
890	1721.356
891	1716.422
892	1723.400
893	1723.889
894	1730.333
895	1723.311
896	1712.200
897	1706.222
898	1696.644
899	1682.889
900	1674.711
901	1668.933
902	1672.756
903	1668.089
904	1662.756
905	1660.356
906	1650.600
907	1648.044
908	1642.244
909	1641.933
910	1638.133
911	1632.444
912	1619.711
913	1611.311
914	1607.356
915	1612.689
916	1611.733
917	1605.844
918	1597.222
919	1585.578
920	1583.911
921	1573.756
922	1573.578
923	1571.578
924	1568.867
925	1556.511
926	1544.133
927	1544.689
928	1547.511
929	1539.378
930	1527.311
931	1517.400
932	1510.156
933	1499.600
934	1485.822
935	1480.044
936	1467.267
937	1458.022
938	1446.489
939	1442.844
940	1440.867
941	1430.133
942	1423.467
943	1422.978
944	1418.956
945	1408.867
946	1400.000
947	1393.244
948	1390.822
949	1378.978
950	1367.933
951	1366.600
952	1361.489
953	1364.400
954	1351.600
955	1347.022
956	1339.956
957	1340.489
958	1336.844
959	1333.289
960	1328.111
961	1325.533
962	1313.244
963	1300.556
964	1287.200
965	1290.800
966	1289.778
967	1285.489
968	1270.489
969	1262.244
970	1251.467
971	1253.000
972	1244.622
973	1245.667
974	1238.067
975	1230.978
976	1223.556
977	1212.378
978	1212.422
979	1199.689
980	1192.378
981	1181.000
982	1184.711
983	1184.822
984	1182.689
985	1170.889
986	1159.400
987	1158.356
988	1162.311
989	1163.511
990	1157.467
991	1148.111
992	1141.178
993	1131.956
994	1125.044
995	1117.156
996	1109.044
997	1099.711
998	1088.711
999	1073.800
1000	1057.156
1001	1040.622
1002	1024.178
1003	1003.333
1004	970.022
1005	930.200
1006	890.600
1007	856.400
1008	828.022
1009	801.622
1010	778.844
1011	758.156
1012	738.889
1013	719.622
1014	699.267
1015	681.444
1016	670.511
1017	667.489
1018	661.733
1019	660.667
1020	654.222
